date,predicted_price
2021-09-29,34.0
2021-09-30,34.0
2021-10-01,34.0
2021-10-02,34.0
2021-10-03,34.0
2021-10-04,34.0
2021-10-05,34.0
2021-10-06,34.0
2021-10-07,34.0
2021-10-08,34.0
2021-10-09,34.0
2021-10-10,34.0
2021-10-11,34.0
2021-10-12,34.0
2021-10-13,34.0
2021-10-14,34.0
2021-10-15,34.0
2021-10-16,34.0
2021-10-17,34.0
2021-10-18,34.0
2021-10-19,34.0
2021-10-20,34.0
2021-10-21,34.0
2021-10-22,34.0
2021-10-23,34.0
2021-10-24,34.0
2021-10-25,34.0
2021-10-26,34.0
2021-10-27,34.0
2021-10-28,34.0
2021-10-29,34.0
2021-10-30,34.0
2021-10-31,34.0
2021-11-01,34.0
2021-11-02,34.0
2021-11-03,34.0
2021-11-04,34.0
2021-11-05,34.0
2021-11-06,34.0
2021-11-07,34.0
2021-11-08,34.0
2021-11-09,34.0
2021-11-10,34.0
2021-11-11,34.0
2021-11-12,34.0
2021-11-13,34.0
2021-11-14,34.0
2021-11-15,34.0
2021-11-16,34.0
2021-11-17,34.0
2021-11-18,34.0
2021-11-19,34.0
2021-11-20,34.0
2021-11-21,34.0
2021-11-22,34.0
2021-11-23,34.0
2021-11-24,34.0
2021-11-25,34.0
2021-11-26,34.0
2021-11-27,34.0
2021-11-28,34.0
2021-11-29,34.0
2021-11-30,34.0
2021-12-01,34.0
2021-12-02,34.0
2021-12-03,34.0
2021-12-04,34.0
2021-12-05,34.0
2021-12-06,34.0
2021-12-07,34.0
2021-12-08,34.0
2021-12-09,34.0
2021-12-10,34.0
2021-12-11,34.0
2021-12-12,34.0
2021-12-13,34.0
2021-12-14,34.0
2021-12-15,34.0
2021-12-16,34.0
2021-12-17,34.0
2021-12-18,34.0
2021-12-19,34.0
2021-12-20,34.0
2021-12-21,34.0
2021-12-22,34.0
2021-12-23,34.0
2021-12-24,34.0
2021-12-25,34.0
2021-12-26,34.0
2021-12-27,34.0
2021-12-28,34.0
2021-12-29,34.0
2021-12-30,34.0
2021-12-31,34.0
2022-01-01,34.0
2022-01-02,34.0
2022-01-03,34.0
2022-01-04,34.0
2022-01-05,34.0
2022-01-06,34.0
2022-01-07,34.0
2022-01-08,34.0
2022-01-09,34.0
2022-01-10,34.0
2022-01-11,34.0
2022-01-12,34.0
2022-01-13,34.0
2022-01-14,34.0
2022-01-15,34.0
2022-01-16,34.0
2022-01-17,34.0
2022-01-18,34.0
2022-01-19,34.0
2022-01-20,34.0
2022-01-21,34.0
2022-01-22,34.0
2022-01-23,34.0
2022-01-24,34.0
2022-01-25,34.0
2022-01-26,34.0
2022-01-27,34.0
2022-01-28,34.0
2022-01-29,34.0
2022-01-30,34.0
2022-01-31,34.0
2022-02-01,34.0
2022-02-02,34.0
2022-02-03,34.0
2022-02-04,34.0
2022-02-05,34.0
2022-02-06,34.0
2022-02-07,34.0
2022-02-08,34.0
2022-02-09,34.0
2022-02-10,34.0
2022-02-11,34.0
2022-02-12,34.0
2022-02-13,34.0
2022-02-14,34.0
2022-02-15,34.0
2022-02-16,34.0
2022-02-17,34.0
2022-02-18,34.0
2022-02-19,34.0
2022-02-20,34.0
2022-02-21,34.0
2022-02-22,34.0
2022-02-23,34.0
2022-02-24,34.0
2022-02-25,34.0
2022-02-26,34.0
2022-02-27,34.0
2022-02-28,34.0
2022-03-01,34.0
2022-03-02,34.0
2022-03-03,34.0
2022-03-04,34.0
2022-03-05,34.0
2022-03-06,34.0
2022-03-07,34.0
2022-03-08,34.0
2022-03-09,34.0
2022-03-10,34.0
2022-03-11,34.0
2022-03-12,34.0
2022-03-13,34.0
2022-03-14,34.0
2022-03-15,34.0
2022-03-16,34.0
2022-03-17,34.0
2022-03-18,34.0
2022-03-19,34.0
2022-03-20,34.0
2022-03-21,34.0
2022-03-22,34.0
2022-03-23,34.0
2022-03-24,34.0
2022-03-25,34.0
2022-03-26,34.0
2022-03-27,34.0
2022-03-28,34.0
2022-03-29,34.0
2022-03-30,34.0
2022-03-31,34.0
2022-04-01,34.0
2022-04-02,34.0
2022-04-03,34.0
2022-04-04,34.0
2022-04-05,34.0
2022-04-06,34.0
2022-04-07,34.0
2022-04-08,34.0
