date,predicted_price
2022-07-14,34.0
2022-07-15,34.0
2022-07-16,34.0
2022-07-17,34.0
2022-07-18,34.0
2022-07-19,34.0
2022-07-20,34.0
2022-07-21,34.0
2022-07-22,34.0
2022-07-23,34.0
2022-07-24,34.0
2022-07-25,34.0
2022-07-26,34.0
2022-07-27,34.0
2022-07-28,34.0
2022-07-29,34.0
2022-07-30,34.0
2022-07-31,34.0
2022-08-01,34.0
2022-08-02,34.0
2022-08-03,34.0
2022-08-04,34.0
2022-08-05,34.0
2022-08-06,34.0
2022-08-07,34.0
2022-08-08,34.0
2022-08-09,34.0
2022-08-10,34.0
2022-08-11,34.0
2022-08-12,34.0
