,predicted_price,date
0,774.9418788909912,2021-10-13
1,812.3561493396759,2021-10-14
2,855.2102256536484,2021-10-15
3,907.5036488056184,2021-10-16
4,972.1487819671631,2021-10-17
5,1052.1840399742127,2021-10-18
6,1152.0017179965973,2021-10-19
7,1278.0436970233916,2021-10-20
8,1440.3750244140624,2021-10-21
9,1653.6900483131408,2021-10-22
10,1947.474318265915,2021-10-23
11,2342.7445635795593,2021-10-24
12,2928.7426564216616,2021-10-25
13,3851.2009852409365,2021-10-26
14,5403.612548065185,2021-10-27
15,8183.580736732482,2021-10-28
16,13324.489477157593,2021-10-29
17,22728.81189880371,2021-10-30
18,39420.50663452149,2021-10-31
19,68440.38572387696,2021-11-01
20,118932.0619934082,2021-11-02
21,206675.49692382815,2021-11-03
22,358589.0225830078,2021-11-04
23,615259.5406494141,2021-11-05
24,1038944.6341552734,2021-11-06
25,1760876.0624511717,2021-11-07
26,3038281.634960938,2021-11-08
27,5282923.458398438,2021-11-09
28,8872284.678710938,2021-11-10
29,14954489.337109374,2021-11-11
