date,predicted_price
2022-07-15,203.0
2022-07-16,203.0
2022-07-17,203.0
2022-07-18,203.0
2022-07-19,203.0
2022-07-20,203.0
2022-07-21,203.0
2022-07-22,203.0
2022-07-23,203.0
2022-07-24,203.0
2022-07-25,203.0
2022-07-26,203.0
2022-07-27,203.0
2022-07-28,203.0
2022-07-29,203.0
2022-07-30,203.0
2022-07-31,203.0
2022-08-01,203.0
2022-08-02,203.0
2022-08-03,203.0
2022-08-04,203.0
2022-08-05,203.0
2022-08-06,203.0
2022-08-07,203.0
2022-08-08,203.0
2022-08-09,203.0
2022-08-10,203.0
2022-08-11,203.0
2022-08-12,203.0
2022-08-13,203.0
