date,predicted_price
2021-09-30,203.0
2021-10-01,203.0
2021-10-02,203.0
2021-10-03,203.0
2021-10-04,203.0
2021-10-05,203.0
2021-10-06,203.0
2021-10-07,203.0
2021-10-08,203.0
2021-10-09,203.0
2021-10-10,203.0
2021-10-11,203.0
2021-10-12,203.0
2021-10-13,203.0
2021-10-14,203.0
2021-10-15,203.0
2021-10-16,203.0
2021-10-17,203.0
2021-10-18,203.0
2021-10-19,203.0
2021-10-20,203.0
2021-10-21,203.0
2021-10-22,203.0
2021-10-23,203.0
2021-10-24,203.0
2021-10-25,203.0
2021-10-26,203.0
2021-10-27,203.0
2021-10-28,203.0
2021-10-29,203.0
2021-10-30,203.0
2021-10-31,203.0
2021-11-01,203.0
2021-11-02,203.0
2021-11-03,203.0
2021-11-04,203.0
2021-11-05,203.0
2021-11-06,203.0
2021-11-07,203.0
2021-11-08,203.0
2021-11-09,203.0
2021-11-10,203.0
2021-11-11,203.0
2021-11-12,203.0
2021-11-13,203.0
2021-11-14,203.0
2021-11-15,203.0
2021-11-16,203.0
2021-11-17,203.0
2021-11-18,203.0
2021-11-19,203.0
2021-11-20,203.0
2021-11-21,203.0
2021-11-22,203.0
2021-11-23,203.0
2021-11-24,203.0
2021-11-25,203.0
2021-11-26,203.0
2021-11-27,203.0
2021-11-28,203.0
2021-11-29,203.0
2021-11-30,203.0
2021-12-01,203.0
2021-12-02,203.0
2021-12-03,203.0
2021-12-04,203.0
2021-12-05,203.0
2021-12-06,203.0
2021-12-07,203.0
2021-12-08,203.0
2021-12-09,203.0
2021-12-10,203.0
2021-12-11,203.0
2021-12-12,203.0
2021-12-13,203.0
2021-12-14,203.0
2021-12-15,203.0
2021-12-16,203.0
2021-12-17,203.0
2021-12-18,203.0
2021-12-19,203.0
2021-12-20,203.0
2021-12-21,203.0
2021-12-22,203.0
2021-12-23,203.0
2021-12-24,203.0
2021-12-25,203.0
2021-12-26,203.0
2021-12-27,203.0
2021-12-28,203.0
2021-12-29,203.0
2021-12-30,203.0
2021-12-31,203.0
2022-01-01,203.0
2022-01-02,203.0
2022-01-03,203.0
2022-01-04,203.0
2022-01-05,203.0
2022-01-06,203.0
2022-01-07,203.0
2022-01-08,203.0
2022-01-09,203.0
2022-01-10,203.0
2022-01-11,203.0
2022-01-12,203.0
2022-01-13,203.0
2022-01-14,203.0
2022-01-15,203.0
2022-01-16,203.0
2022-01-17,203.0
2022-01-18,203.0
2022-01-19,203.0
2022-01-20,203.0
2022-01-21,203.0
2022-01-22,203.0
2022-01-23,203.0
2022-01-24,203.0
2022-01-25,203.0
2022-01-26,203.0
2022-01-27,203.0
2022-01-28,203.0
2022-01-29,203.0
2022-01-30,203.0
2022-01-31,203.0
2022-02-01,203.0
2022-02-02,203.0
2022-02-03,203.0
2022-02-04,203.0
2022-02-05,203.0
2022-02-06,203.0
2022-02-07,203.0
2022-02-08,203.0
2022-02-09,203.0
2022-02-10,203.0
2022-02-11,203.0
2022-02-12,203.0
2022-02-13,203.0
2022-02-14,203.0
2022-02-15,203.0
2022-02-16,203.0
2022-02-17,203.0
2022-02-18,203.0
2022-02-19,203.0
2022-02-20,203.0
2022-02-21,203.0
2022-02-22,203.0
2022-02-23,203.0
2022-02-24,203.0
2022-02-25,203.0
2022-02-26,203.0
2022-02-27,203.0
2022-02-28,203.0
2022-03-01,203.0
2022-03-02,203.0
2022-03-03,203.0
2022-03-04,203.0
2022-03-05,203.0
2022-03-06,203.0
2022-03-07,203.0
2022-03-08,203.0
2022-03-09,203.0
2022-03-10,203.0
2022-03-11,203.0
2022-03-12,203.0
2022-03-13,203.0
2022-03-14,203.0
2022-03-15,203.0
2022-03-16,203.0
2022-03-17,203.0
2022-03-18,203.0
2022-03-19,203.0
2022-03-20,203.0
2022-03-21,203.0
2022-03-22,203.0
2022-03-23,203.0
2022-03-24,203.0
2022-03-25,203.0
2022-03-26,203.0
2022-03-27,203.0
2022-03-28,203.0
2022-03-29,203.0
2022-03-30,203.0
2022-03-31,203.0
2022-04-01,203.0
2022-04-02,203.0
2022-04-03,203.0
2022-04-04,203.0
2022-04-05,203.0
2022-04-06,203.0
2022-04-07,203.0
2022-04-08,203.0
2022-04-09,203.0
